parent_channel,child_channel,out_deg
Amicus Humani Generis,"['Amicus Humani Generis', 'tuffyjon', 'TheDC Shorts', 'TheDC Shorts', 'Media Buzz', 'Media Buzz', 'FREEMAN', 'FREEMAN', 'Grey Disciple', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Savage Nation', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Reflect', 'Domination Station', 'Domination Station', 'Ramble', 'Ramble', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Savage Nation', 'Savage Nation', 'Savage Nation', 'Media Buzz', 'American Patriot', 'Bud Meyers', 'Media Buzz', 'failbok', 'Media Buzz', 'LSUDVM', 'Certified Liberty', 'Media Buzz', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Amicus Humani Generis', 'euronews (in English)', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Mark Dice', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Amicus Humani Generis', 'THE LIBERTY DAILY', 'Amicus Humani Generis', 'Media Buzz', 'Senator John Kennedy', 'Senator John Kennedy', 'Amicus Humani Generis', 'Golden State Times', 'Amicus Humani Generis', 'Amicus Humani Generis', 'LR', 'Media Buzz', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Amicus Humani Generis', 'Media Buzz']",13
An Evening at the Improv,['WatchMojo.com'],13
Analisis Militer,"['Amazing Machines', 'OBROLAN PANAS']",13
Anang,"['Hillsdale College', 'Center for Western Civilization, Thought & Policy']",13
Ancestry,"['Ancestry', 'DocsNStuff', 'Ancestry', 'Ancestry', 'Ancestry', 'Ancestry', 'Ancestry', 'Ancestry', 'davidcici11Evolution', 'CNN']",13
Ancient Architects,"['Ancient Architects', 'Best Documentary', 'Thomas J Elpel', 'Ancient Architects']",13
Ancient College,"['7thJewelProductions', 'The Official Final Call Inc. Store House of Truth', 'Ancient College', 'Malcolms Disciples']",13
And We Know,"['And We Know', 'And We Know', 'We The People Insider 1776', 'We The People Insider 1776', 'And We Know', 'And We Know', 'And We Know', 'And We Know']",13
Andre Emile,"['cybersasho', 'Andre Emile']",13
Andrew Camarata,"['Machines News', 'Andrew Camarata']",13
Andrew Lynch,"['LIVEKellyandRyan', 'The Late Show with Stephen Colbert']",13
